reading datetime,discharge(cubic feet per second)
1990-01-01 00:00:00,109
1990-01-02 00:00:00,108
1990-01-03 00:00:00,108
1990-01-04 00:00:00,123
1990-01-05 00:00:00,144
1990-01-06 00:00:00,149
1990-01-07 00:00:00,146
1990-01-08 00:00:00,140
1990-01-09 00:00:00,137
1990-01-10 00:00:00,140
1990-01-11 00:00:00,140
1990-01-12 00:00:00,138
1990-01-13 00:00:00,133
1990-01-14 00:00:00,128
1990-01-15 00:00:00,124
1990-01-16 00:00:00,123
1990-01-17 00:00:00,134
1990-01-18 00:00:00,151
1990-01-19 00:00:00,158
1990-01-20 00:00:00,158
1990-01-21 00:00:00,154
1990-01-22 00:00:00,148
1990-01-23 00:00:00,143
1990-01-24 00:00:00,139
1990-01-25 00:00:00,141
1990-01-26 00:00:00,145
1990-01-27 00:00:00,140
1990-01-28 00:00:00,137
1990-01-29 00:00:00,135
1990-01-30 00:00:00,131
1990-01-31 00:00:00,128
1990-02-01 00:00:00,128
1990-02-02 00:00:00,142
1990-02-03 00:00:00,141
1990-02-04 00:00:00,138
1990-02-05 00:00:00,132
1990-02-06 00:00:00,132
1990-02-07 00:00:00,131
1990-02-08 00:00:00,134
1990-02-09 00:00:00,146
1990-02-10 00:00:00,154
1990-02-11 00:00:00,154
1990-02-12 00:00:00,150
1990-02-13 00:00:00,149
1990-02-14 00:00:00,157
1990-02-15 00:00:00,173
1990-02-16 00:00:00,172
1990-02-17 00:00:00,167
1990-02-18 00:00:00,161
1990-02-19 00:00:00,157
1990-02-20 00:00:00,151
1990-02-21 00:00:00,147
1990-02-22 00:00:00,167
1990-02-23 00:00:00,209
1990-02-24 00:00:00,232
1990-02-25 00:00:00,240
1990-02-26 00:00:00,243
1990-02-27 00:00:00,231
1990-02-28 00:00:00,217
1990-03-01 00:00:00,206
1990-03-02 00:00:00,199
1990-03-03 00:00:00,196
1990-03-04 00:00:00,191
1990-03-05 00:00:00,189
1990-03-06 00:00:00,182
1990-03-07 00:00:00,174
1990-03-08 00:00:00,170
1990-03-09 00:00:00,181
1990-03-10 00:00:00,201
1990-03-11 00:00:00,226
1990-03-12 00:00:00,251
1990-03-13 00:00:00,278
1990-03-14 00:00:00,295
1990-03-15 00:00:00,295
1990-03-16 00:00:00,298
1990-03-17 00:00:00,286
1990-03-18 00:00:00,279
1990-03-19 00:00:00,272
1990-03-20 00:00:00,256
1990-03-21 00:00:00,243
1990-03-22 00:00:00,239
1990-03-23 00:00:00,247
1990-03-24 00:00:00,246
1990-03-25 00:00:00,239
1990-03-26 00:00:00,177
1990-03-27 00:00:00,130
1990-03-28 00:00:00,161
1990-03-29 00:00:00,178
1990-03-30 00:00:00,192
1990-03-31 00:00:00,198
1990-04-01 00:00:00,207
1990-04-02 00:00:00,110
1990-04-03 00:00:00,124
1990-04-04 00:00:00,162
1990-04-05 00:00:00,182
1990-04-06 00:00:00,140
1990-04-07 00:00:00,129
1990-04-08 00:00:00,158
1990-04-09 00:00:00,112
1990-04-10 00:00:00,120
1990-04-11 00:00:00,173
1990-04-12 00:00:00,200
1990-04-13 00:00:00,211
1990-04-14 00:00:00,217
1990-04-15 00:00:00,213
1990-04-16 00:00:00,116
1990-04-17 00:00:00,99.0
1990-04-18 00:00:00,142
1990-04-19 00:00:00,162
1990-04-20 00:00:00,180
1990-04-21 00:00:00,203
1990-04-22 00:00:00,204
1990-04-23 00:00:00,202
1990-04-24 00:00:00,193
1990-04-25 00:00:00,188
1990-04-26 00:00:00,186
1990-04-27 00:00:00,181
1990-04-28 00:00:00,174
1990-04-29 00:00:00,170
1990-04-30 00:00:00,167
1990-05-01 00:00:00,160
1990-05-02 00:00:00,158
1990-05-03 00:00:00,154
1990-05-04 00:00:00,162
1990-05-05 00:00:00,167
1990-05-06 00:00:00,161
1990-05-07 00:00:00,153
1990-05-08 00:00:00,147
1990-05-09 00:00:00,144
1990-05-10 00:00:00,132
1990-05-11 00:00:00,137
1990-05-12 00:00:00,134
1990-05-13 00:00:00,138
1990-05-14 00:00:00,131
1990-05-15 00:00:00,133
1990-05-16 00:00:00,135
1990-05-17 00:00:00,157
1990-05-18 00:00:00,175
1990-05-19 00:00:00,189
1990-05-20 00:00:00,197
1990-05-21 00:00:00,203
1990-05-22 00:00:00,195
1990-05-23 00:00:00,188
1990-05-24 00:00:00,182
1990-05-25 00:00:00,173
1990-05-26 00:00:00,169
1990-05-27 00:00:00,162
1990-05-28 00:00:00,159
1990-05-29 00:00:00,153
1990-05-30 00:00:00,143
1990-05-31 00:00:00,137
1990-06-01 00:00:00,135
1990-06-02 00:00:00,126
1990-06-03 00:00:00,123
1990-06-04 00:00:00,126
1990-06-05 00:00:00,116
1990-06-06 00:00:00,110
1990-06-07 00:00:00,110
1990-06-08 00:00:00,118
1990-06-09 00:00:00,120
1990-06-10 00:00:00,123
1990-06-11 00:00:00,123
1990-06-12 00:00:00,118
1990-06-13 00:00:00,114
1990-06-14 00:00:00,124
1990-06-15 00:00:00,131
1990-06-16 00:00:00,124
1990-06-17 00:00:00,112
1990-06-18 00:00:00,101
1990-06-19 00:00:00,94.0
1990-06-20 00:00:00,90.0
1990-06-21 00:00:00,90.0
1990-06-22 00:00:00,92.0
1990-06-23 00:00:00,103
1990-06-24 00:00:00,109
1990-06-25 00:00:00,106
1990-06-26 00:00:00,98.0
1990-06-27 00:00:00,96.0
1990-06-28 00:00:00,98.0
1990-06-29 00:00:00,100
1990-06-30 00:00:00,105
1990-07-01 00:00:00,110
1990-07-02 00:00:00,105
1990-07-03 00:00:00,52.0
1990-07-04 00:00:00,11.0
1990-07-05 00:00:00,15.0
1990-07-06 00:00:00,26.0
1990-07-07 00:00:00,36.0
1990-07-08 00:00:00,42.0
1990-07-09 00:00:00,48.0
