# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2017-11-01 18:25:10 EDT       (sdww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 04170500 HURON RIVER NEAR NEW HUDSON, MI
# -----------------------------------------------------------------------------------
#
# Data provided for site 04170500
#            TS   parameter     statistic     Description
#         71272       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     e  Value has been estimated.
# 
agency_cd,site_no,datetime,71272_00060_00003,71272_00060_00003_cd
5s,15s,20d,14n,10s
USGS,04170500,1990-01-01,109,A
USGS,04170500,1990-01-02,108,A
USGS,04170500,1990-01-03,108,A
USGS,04170500,1990-01-04,123,A
USGS,04170500,1990-01-05,144,A
USGS,04170500,1990-01-06,149,A
USGS,04170500,1990-01-07,146,A
USGS,04170500,1990-01-08,140,A
USGS,04170500,1990-01-09,137,A
USGS,04170500,1990-01-10,140,A
USGS,04170500,1990-01-11,140,A
USGS,04170500,1990-01-12,138,A
USGS,04170500,1990-01-13,133,A
USGS,04170500,1990-01-14,128,A
USGS,04170500,1990-01-15,124,A
USGS,04170500,1990-01-16,123,A
USGS,04170500,1990-01-17,134,A
USGS,04170500,1990-01-18,151,A
USGS,04170500,1990-01-19,158,A
USGS,04170500,1990-01-20,158,A
USGS,04170500,1990-01-21,154,A
USGS,04170500,1990-01-22,148,A
USGS,04170500,1990-01-23,143,A
USGS,04170500,1990-01-24,139,A
USGS,04170500,1990-01-25,141,A
USGS,04170500,1990-01-26,145,A
USGS,04170500,1990-01-27,140,A
USGS,04170500,1990-01-28,137,A
USGS,04170500,1990-01-29,135,A
USGS,04170500,1990-01-30,131,A
USGS,04170500,1990-01-31,128,A
USGS,04170500,1990-02-01,128,A
USGS,04170500,1990-02-02,142,A
USGS,04170500,1990-02-03,141,A
USGS,04170500,1990-02-04,138,A
USGS,04170500,1990-02-05,132,A
USGS,04170500,1990-02-06,132,A
USGS,04170500,1990-02-07,131,A
USGS,04170500,1990-02-08,134,A
USGS,04170500,1990-02-09,146,A
USGS,04170500,1990-02-10,154,A
USGS,04170500,1990-02-11,154,A
USGS,04170500,1990-02-12,150,A
USGS,04170500,1990-02-13,149,A
USGS,04170500,1990-02-14,157,A
USGS,04170500,1990-02-15,173,A
USGS,04170500,1990-02-16,172,A
